image_id,method,task,mIoU,pixel_accuracy,inference_time_sec
image_022,Watershed-Binary,binary,0.240415279,0.470055324,0.017356157
image_022,Watershed-Semantic-Oracle,semantic-oracle,0.46717746,0.93435492,0.021844625
image_022,U-Net-Semantic,semantic,0.131366367,0.869032359,0.389256239
image_022,SegFormer-Semantic,semantic,0.098098553,0.445610016,0.46937871
image_022,SAM-Class-Agnostic,class-agnostic-binary,0.053513691,0.103801593,26.32285333
image_023,Watershed-Binary,binary,0.616613731,0.794041107,0.020145416
image_023,Watershed-Semantic-Oracle,semantic-oracle,0.694554618,0.852769825,0.025868177
image_023,U-Net-Semantic,semantic,0.144460819,0.672682327,0.481903791
image_023,SegFormer-Semantic,semantic,3.67E-05,0.000238947,0.533444166
image_023,SAM-Class-Agnostic,class-agnostic-binary,0.074521688,0.140335481,27.24617839
image_024,Watershed-Binary,binary,0.00399337,0.007985875,0.020941496
image_024,Watershed-Semantic-Oracle,semantic-oracle,0.489806174,0.979612347,0.024364471
image_024,U-Net-Semantic,semantic,0.10455225,0.930067325,0.392289162
image_024,SegFormer-Semantic,semantic,0,0,0.511949062
image_024,SAM-Class-Agnostic,class-agnostic-binary,0.006561053,0.013115772,30.28452969
image_025,Watershed-Binary,binary,0.223608315,0.38809517,0.032497406
image_025,Watershed-Semantic-Oracle,semantic-oracle,0.229006324,0.690755483,0.041013956
image_025,U-Net-Semantic,semantic,0.369420006,0.929618264,0.845461607
image_025,SegFormer-Semantic,semantic,0.001550441,0.018302201,1.13311553
image_025,SAM-Class-Agnostic,class-agnostic-binary,0.308647194,0.489455851,25.8754797
image_026,Watershed-Binary,binary,0.411420099,0.638730521,0.017777205
image_026,Watershed-Semantic-Oracle,semantic-oracle,0.234531745,0.722725041,0.021208286
image_026,U-Net-Semantic,semantic,0.121672275,0.866507507,0.38548398
image_026,SegFormer-Semantic,semantic,0.014877957,0.117556696,0.445650578
image_026,SAM-Class-Agnostic,class-agnostic-binary,0.13933521,0.258595433,23.91557312
image_027,Watershed-Binary,binary,0.232127334,0.400971366,0.02098155
image_027,Watershed-Semantic-Oracle,semantic-oracle,0.232127334,0.400971366,0.02118969
image_027,U-Net-Semantic,semantic,0.143049483,0.860680506,0.378254414
image_027,SegFormer-Semantic,semantic,0.005601163,0.03076385,0.454068899
image_027,SAM-Class-Agnostic,class-agnostic-binary,0.036380819,0.071453552,23.85963988
image_028,Watershed-Binary,binary,0.366881925,0.733763851,0.012656212
image_028,Watershed-Semantic-Oracle,semantic-oracle,0.475332454,0.950664907,0.014604092
image_028,U-Net-Semantic,semantic,0.146674631,0.951922101,0.363428354
image_028,SegFormer-Semantic,semantic,0.002844289,0.011349882,0.394331217
image_028,SAM-Class-Agnostic,class-agnostic-binary,0.281651035,0.499547098,21.63805246
image_029,Watershed-Binary,binary,0.400559397,0.575891474,0.013667822
image_029,Watershed-Semantic-Oracle,semantic-oracle,0.267192453,0.575891474,0.017924786
image_029,U-Net-Semantic,semantic,0.229234714,0.783634902,0.362049818
image_029,SegFormer-Semantic,semantic,0.097956321,0.342306561,0.370563984
image_029,SAM-Class-Agnostic,class-agnostic-binary,0.16128138,0.312665896,22.02165341
image_030,Watershed-Binary,binary,0.379094928,0.736364826,0.011612654
image_030,Watershed-Semantic-Oracle,semantic-oracle,0.493535962,0.987071924,0.015045404
image_030,U-Net-Semantic,semantic,0.111594582,0.886130582,0.335860729
image_030,SegFormer-Semantic,semantic,0.125279517,0.622285163,0.375267744
image_030,SAM-Class-Agnostic,class-agnostic-binary,0.081024723,0.161452197,21.66107988
image_031,Watershed-Binary,binary,0.566963112,0.804390729,0.01488018
image_031,Watershed-Semantic-Oracle,semantic-oracle,0.727661889,0.913484006,0.017616749
image_031,U-Net-Semantic,semantic,0.078468755,0.797005747,0.333605766
image_031,SegFormer-Semantic,semantic,0.075839916,0.517777637,0.357832432
image_031,SAM-Class-Agnostic,class-agnostic-binary,0.107333828,0.199402412,22.0706265
image_032,Watershed-Binary,binary,0.402418562,0.750239231,0.009613752
image_032,Watershed-Semantic-Oracle,semantic-oracle,0.366525784,0.87632651,0.013831139
image_032,U-Net-Semantic,semantic,0.60593638,0.918837319,0.350690365
image_032,SegFormer-Semantic,semantic,0.093606837,0.730389917,0.379382372
image_032,SAM-Class-Agnostic,class-agnostic-binary,0.493285683,0.789176226,23.73573828
image_033,Watershed-Binary,binary,0.392455742,0.718747067,0.025655508
image_033,Watershed-Semantic-Oracle,semantic-oracle,0.762753852,0.981602578,0.031705379
image_033,U-Net-Semantic,semantic,0.449350168,0.956263102,0.525659084
image_033,SegFormer-Semantic,semantic,0.031681548,0.314308845,0.716973066
image_033,SAM-Class-Agnostic,class-agnostic-binary,0.13999692,0.2789689,26.69237018
image_034,Watershed-Binary,binary,0.415453499,0.589390372,0.014085531
image_034,Watershed-Semantic-Oracle,semantic-oracle,0.415453499,0.589390372,0.024870872
image_034,U-Net-Semantic,semantic,0.069566437,0.418165064,0.437321186
image_034,SegFormer-Semantic,semantic,0.002269622,0.008847864,0.486753464
image_034,SAM-Class-Agnostic,class-agnostic-binary,0.174787326,0.348971328,25.34363437
image_035,Watershed-Binary,binary,0.594695824,0.82690857,0.018126249
image_035,Watershed-Semantic-Oracle,semantic-oracle,0.629019239,0.98696737,0.02733469
image_035,U-Net-Semantic,semantic,0.222339993,0.889359974,0.643986702
image_035,SegFormer-Semantic,semantic,0.056656263,0.453078277,0.586649418
image_035,SAM-Class-Agnostic,class-agnostic-binary,0.35516365,0.563269569,24.15804577
image_036,Watershed-Binary,binary,0.504383231,0.682844643,0.017582417
image_036,Watershed-Semantic-Oracle,semantic-oracle,0.445287298,0.667945874,0.028427362
image_036,U-Net-Semantic,semantic,0.055551514,0.520370333,0.415872335
image_036,SegFormer-Semantic,semantic,0.06763967,0.232145691,0.457906961
image_036,SAM-Class-Agnostic,class-agnostic-binary,0.187340325,0.335399329,25.13227892
image_037,Watershed-Binary,binary,0.007281982,0.014459831,0.021481514
image_037,Watershed-Semantic-Oracle,semantic-oracle,0.441167058,0.882334117,0.032754898
image_037,U-Net-Semantic,semantic,0.109280692,0.907551903,0.500997305
image_037,SegFormer-Semantic,semantic,5.40E-05,0.000161982,0.482307196
image_037,SAM-Class-Agnostic,class-agnostic-binary,0.059504949,0.118689133,26.13723755
image_038,Watershed-Binary,binary,0.528800798,0.895018629,0.011465788
image_038,Watershed-Semantic-Oracle,semantic-oracle,0.46054445,0.932977708,0.021541119
image_038,U-Net-Semantic,semantic,0.212358253,0.975840665,0.528232813
image_038,SegFormer-Semantic,semantic,0.046640611,0.511878111,0.461368561
image_038,SAM-Class-Agnostic,class-agnostic-binary,0.062366502,0.120460096,24.27053213
image_039,Watershed-Binary,binary,0.435436526,0.7244641,0.021076441
image_039,Watershed-Semantic-Oracle,semantic-oracle,0.581920824,0.873980402,0.029950619
image_039,U-Net-Semantic,semantic,0.292247138,0.979443806,0.435300112
image_039,SegFormer-Semantic,semantic,0.068067783,0.627642353,0.49853611
image_039,SAM-Class-Agnostic,class-agnostic-binary,0.240520624,0.417239519,24.12915087
image_040,Watershed-Binary,binary,0.133793104,0.23601032,0.026815176
image_040,Watershed-Semantic-Oracle,semantic-oracle,0.105854357,0.272250866,0.038318396
image_040,U-Net-Semantic,semantic,0.185827979,0.798865772,0.458734512
image_040,SegFormer-Semantic,semantic,0.016019786,0.151313539,0.46273303
image_040,SAM-Class-Agnostic,class-agnostic-binary,0.149827133,0.278147401,23.91083479
image_041,Watershed-Binary,binary,0.704796945,0.865665848,0.014613867
image_041,Watershed-Semantic-Oracle,semantic-oracle,0.687480178,0.869551993,0.02741313
image_041,U-Net-Semantic,semantic,0.137077902,0.811916178,0.387688875
image_041,SegFormer-Semantic,semantic,0.001120542,0.007488133,0.486199379
image_041,SAM-Class-Agnostic,class-agnostic-binary,0.30299247,0.470695824,24.43780351
image_042,Watershed-Binary,binary,0.134225199,0.240130713,0.01812458
image_042,Watershed-Semantic-Oracle,semantic-oracle,0.134225199,0.240130713,0.025690556
image_042,U-Net-Semantic,semantic,0.073222295,0.286618308,0.434815168
image_042,SegFormer-Semantic,semantic,0.067206132,0.361989578,0.473677397
image_042,SAM-Class-Agnostic,class-agnostic-binary,0.033609671,0.065591758,22.58894348
image_043,Watershed-Binary,binary,0.937213305,0.972836464,0.011470318
image_043,Watershed-Semantic-Oracle,semantic-oracle,0.929340636,0.972836464,0.015786886
image_043,U-Net-Semantic,semantic,0.624819465,0.868272596,0.318203926
image_043,SegFormer-Semantic,semantic,0.13963988,0.679663172,0.385800123
image_043,SAM-Class-Agnostic,class-agnostic-binary,0.457477011,0.627965845,24.08314419
image_044,Watershed-Binary,binary,0.328946385,0.63159978,0.024164438
image_044,Watershed-Semantic-Oracle,semantic-oracle,0.511540008,0.910018704,0.041664839
image_044,U-Net-Semantic,semantic,0.138967804,0.800658135,0.464481831
image_044,SegFormer-Semantic,semantic,0.028904958,0.201914644,0.43209362
image_044,SAM-Class-Agnostic,class-agnostic-binary,0.453209389,0.728810468,23.73540902
image_045,Watershed-Binary,binary,0.166207728,0.330002917,0.022211313
image_045,Watershed-Semantic-Oracle,semantic-oracle,0.364694429,0.729388859,0.025322437
image_045,U-Net-Semantic,semantic,0.181245807,0.666733669,0.374680996
image_045,SegFormer-Semantic,semantic,0.122309023,0.446078779,0.451472044
image_045,SAM-Class-Agnostic,class-agnostic-binary,0.418743487,0.594493185,22.55825925
image_046,Watershed-Binary,binary,0.608547957,0.844043416,0.009368896
image_046,Watershed-Semantic-Oracle,semantic-oracle,0.609441752,0.8447203,0.015834093
image_046,U-Net-Semantic,semantic,0.329690413,0.742633437,0.428052902
image_046,SegFormer-Semantic,semantic,0.058377819,0.400193169,0.404726744
image_046,SAM-Class-Agnostic,class-agnostic-binary,0.202734114,0.347419922,24.69409204
