image_id,method,mIoU,pixel_accuracy,inference_time_sec
image_077,SAM,0.046069415,0.08838668,21.62662292
image_078,Watershed,0.378272722,0.693234469,0.012504816
image_078,U-Net,0.023011751,0.046012486,0.261329412
image_078,SegFormer,0.022947643,0.045895286,0.355199814
image_078,SAM,0.025859706,0.050887981,21.14420605
image_079,Watershed,0.315293513,0.496621023,0.011016369
image_079,U-Net,0.262142015,0.524277169,0.27052784
image_079,SegFormer,0.702930541,0.832088891,0.382386208
image_079,SAM,0.379821904,0.582647836,21.27501464
image_080,Watershed,0.450843347,0.901686695,0.00676918
image_080,U-Net,0.006900574,0.013800933,0.283404827
image_080,SegFormer,0.006896605,0.01379321,0.355204105
image_080,SAM,0.023706091,0.046557876,20.83718085
image_081,Watershed,0.337524499,0.675048997,0.009375334
image_081,U-Net,0.018212529,0.036419633,0.26251626
image_081,SegFormer,0.018173203,0.036346406,0.346105814
image_081,SAM,0.034187007,0.066739894,21.30696416
image_082,Watershed,0.406813465,0.673305339,0.010295153
image_082,U-Net,0.065623911,0.131207693,0.263969898
image_082,SegFormer,0.299129344,0.479309009,0.348822117
image_082,SAM,0.104087394,0.189101348,21.31636024
image_083,Watershed,0.311565317,0.609775158,0.015009165
image_083,U-Net,0.022019646,0.044029104,0.319247246
image_083,SegFormer,0.207965437,0.378567698,0.348407984
image_083,SAM,0.194711252,0.377915805,21.06987476
image_084,Watershed,0.307844965,0.612885556,0.015284777
image_084,U-Net,0.021747085,0.043492695,0.285542965
image_084,SegFormer,0.076803889,0.144163696,0.341469288
image_084,SAM,0.353932617,0.685276555,20.8538475
image_085,Watershed,0.544796615,0.863260284,0.007682562
image_085,U-Net,0.049965677,0.099931353,0.272493124
image_085,SegFormer,0.049965677,0.099931353,0.363988161
image_085,SAM,0.036474538,0.071083617,21.88626814
image_086,Watershed,0.026098993,0.052172784,0.014356136
image_086,U-Net,0.062745476,0.125490952,0.264785767
image_086,SegFormer,0.616477245,0.845457265,0.345663309
image_086,SAM,0.462013436,0.68484994,21.14614439
image_087,Watershed,0.474789571,0.645240527,0.014700651
image_087,U-Net,0.304932991,0.609806689,0.263009548
image_087,SegFormer,0.504779782,0.731056855,0.357149124
image_087,SAM,0.489837719,0.713281451,21.65434146
image_088,Watershed,0.271505583,0.437199083,0.01000762
image_088,U-Net,0.156972797,0.313931498,0.286116362
image_088,SegFormer,0.156961181,0.313922362,0.383907557
image_088,SAM,0.080582159,0.158879743,21.71569228
image_089,Watershed,0.37195656,0.558138109,0.015320539
image_089,U-Net,0.140144554,0.280272687,0.285036087
image_089,SegFormer,0.140124082,0.280248165,0.345304489
image_089,SAM,0.23326569,0.378422894,21.76992798
image_090,Watershed,0.23441363,0.468730312,0.010487318
image_090,U-Net,0.0656517,0.131275271,0.288740396
image_090,SegFormer,0.065587792,0.131175584,0.360823631
image_090,SAM,0.029917178,0.058364502,21.57750654
image_091,Watershed,0.645188953,0.7929414,0.013282299
image_091,U-Net,0.215999301,0.431813372,0.269162416
image_091,SegFormer,0.26854619,0.477705933,0.350268602
image_091,SAM,0.375100825,0.545609648,21.54135585
image_092,Watershed,0.181469368,0.322687882,0.012271643
image_092,U-Net,0.356882652,0.713400945,0.267326832
image_092,SegFormer,0.356667111,0.713334223,0.345418215
image_092,SAM,0.222484522,0.363996735,21.13939881
image_093,Watershed,0.912785373,0.981436173,0.006933928
image_093,U-Net,0.06037653,0.120749996,0.26096344
image_093,SegFormer,0.060369059,0.120738119,0.344568014
image_093,SAM,0.061512703,0.122476127,21.360744
image_094,Watershed,0.327379315,0.493771304,0.01576829
image_094,U-Net,0.281977353,0.563394558,0.280124903
image_094,SegFormer,0.281560362,0.563120724,0.35893321
image_094,SAM,0.491525476,0.660650498,21.11207175
image_095,Watershed,0.262712222,0.420429603,0.014433622
image_095,U-Net,0.343705317,0.686465468,0.272681952
image_095,SegFormer,0.655664126,0.840213156,0.337298155
image_095,SAM,0.280588566,0.560148792,21.2251687
image_096,Watershed,0.710162435,0.886275606,0.011327267
image_096,U-Net,0.085519498,0.17100587,0.28194952
image_096,SegFormer,0.085459011,0.170918021,0.34710598
image_096,SAM,0.021850601,0.042818352,21.249686
image_097,Watershed,0.133244261,0.262141387,0.014602184
image_097,U-Net,0.162004294,0.323936024,0.270991802
image_097,SegFormer,0.035867589,0.070036113,0.356450558
image_097,SAM,0.324464068,0.635969976,20.73885632
image_098,Watershed,0.018209093,0.036403505,0.017764807
image_098,U-Net,0.056918474,0.113834112,0.278440952
image_098,SegFormer,0.056911204,0.113822407,0.347343445
image_098,SAM,0.079107759,0.149433853,20.97097039
image_099,Watershed,0.798313371,0.887997901,0.010145187
image_099,U-Net,0.28816693,0.5756763,0.267633438
image_099,SegFormer,0.708241874,0.842648896,0.337282658
image_099,SAM,0.591676405,0.771955035,21.12125468
image_100,Watershed,0.301603785,0.596689841,0.010567427
image_100,U-Net,0.05822772,0.116450582,0.273015499
image_100,SegFormer,0.151872438,0.264221627,0.335242033
image_100,SAM,0.023788649,0.046481586,21.39545774
